order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1477213,101186,Restaurant_4,Japanese,10.41,Weekend,5,22,15
1477214,100924,Restaurant_120,Indian,30.46,Weekday,5,30,21
1477215,101126,Restaurant_93,Thai,26.9,Weekend,4,27,16
1477216,100247,Restaurant_14,Chinese,32.15,Weekend,5,31,21
1477217,100131,Restaurant_35,Italian,8.11,Weekend,5,31,27
1477218,100353,Restaurant_105,Italian,35.11,Weekday,5,26,19
1477219,100196,Restaurant_53,Vietnamese,10.95,Weekday,3,34,15
1477220,100930,Restaurant_163,Chinese,4.83,Weekend,4,30,15
1477221,101022,Restaurant_143,Chinese,35.33,Weekday,4,34,32
1477222,100645,Restaurant_179,Italian,13.17,Weekday,4,26,15
1477223,100227,Restaurant_51,Indian,25.14,Weekday,Not given,34,19
1477224,100701,Restaurant_175,Chinese,9.94,Weekend,5,27,23
1477225,100265,Restaurant_70,Mediterranean,22.42,Weekday,4,33,26
1477226,100646,Restaurant_56,Chinese,32.44,Weekday,Not given,29,23
1477227,100211,Restaurant_9,Mediterranean,14.38,Weekday,4,26,32
1477228,100943,Restaurant_10,American,25.21,Weekday,Not given,29,25
1477229,100457,Restaurant_127,Japanese,10.28,Weekend,5,21,15
1477230,100725,Restaurant_74,Mediterranean,23.8,Weekday,4,23,24
1477231,100982,Restaurant_44,American,14.88,Weekday,5,34,16
1477232,101155,Restaurant_114,Korean,11.0,Weekend,4,30,21
1477233,100588,Restaurant_51,Italian,14.16,Weekend,5,25,16
1477234,100476,Restaurant_105,Southern,10.0,Weekday,5,22,20
1477235,100986,Restaurant_63,Japanese,32.38,Weekday,4,34,24
1477236,100156,Restaurant_147,Chinese,16.76,Weekday,4,22,23
1477237,100190,Restaurant_144,Chinese,12.06,Weekday,5,34,22
1477238,100981,Restaurant_78,Chinese,18.34,Weekend,Not given,25,25
1477239,100546,Restaurant_60,American,14.39,Weekend,4,20,23
1477240,100041,Restaurant_63,American,27.5,Weekend,5,33,23
1477241,100307,Restaurant_141,American,34.52,Weekend,4,35,22
1477242,100943,Restaurant_55,Italian,18.02,Weekday,Not given,20,29
1477243,100338,Restaurant_37,French,31.11,Weekday,4,24,16
1477244,101099,Restaurant_12,American,21.98,Weekend,4,20,15
1477245,100953,Restaurant_76,American,9.33,Weekday,5,29,23
1477246,100279,Restaurant_81,Indian,25.84,Weekday,4,27,23
1477247,101200,Restaurant_151,Chinese,20.36,Weekend,Not given,21,27
1477248,100896,Restaurant_44,American,24.6,Weekend,3,35,22
1477249,100273,Restaurant_70,American,32.0,Weekday,5,25,19
1477250,100837,Restaurant_141,Southern,18.1,Weekday,4,29,17
1477251,100620,Restaurant_147,French,32.35,Weekday,Not given,29,18
1477252,100862,Restaurant_70,Italian,27.7,Weekday,5,24,31
1477253,100931,Restaurant_74,Japanese,19.59,Weekday,Not given,29,30
1477254,100289,Restaurant_53,Mexican,23.13,Weekday,Not given,31,30
1477255,100724,Restaurant_162,Japanese,14.54,Weekday,5,31,17
1477256,100893,Restaurant_23,Japanese,34.9,Weekday,Not given,23,20
1477257,100272,Restaurant_162,Indian,25.12,Weekday,5,20,15
1477258,101090,Restaurant_124,Chinese,5.83,Weekday,Not given,33,30
1477259,100483,Restaurant_93,American,14.58,Weekday,4,33,29
1477260,100936,Restaurant_4,Italian,23.76,Weekend,4,22,21
1477261,100248,Restaurant_77,Mediterranean,6.21,Weekday,3,32,16
1477262,100156,Restaurant_70,Indian,5.21,Weekday,Not given,31,24
1477263,101071,Restaurant_34,French,18.39,Weekday,5,23,29
1477264,100454,Restaurant_119,Spanish,14.76,Weekend,4,21,20
1477265,100201,Restaurant_175,American,18.03,Weekday,5,31,16
1477266,100124,Restaurant_104,Japanese,12.6,Weekday,5,21,31
1477267,100001,Restaurant_135,Japanese,9.57,Weekday,5,21,15
1477268,100968,Restaurant_12,Vietnamese,25.79,Weekday,4,30,15
1477269,100855,Restaurant_70,Vietnamese,20.39,Weekday,5,20,18
1477270,100640,Restaurant_21,Japanese,10.66,Weekday,5,29,30
1477271,100191,Restaurant_114,Chinese,14.36,Weekday,5,21,22
1477272,100516,Restaurant_163,French,22.78,Weekend,5,25,15
1477273,100442,Restaurant_121,American,6.7,Weekend,4,22,25
1477274,100143,Restaurant_12,Thai,9.03,Weekday,Not given,29,31
1477275,100533,Restaurant_63,Mediterranean,6.74,Weekday,5,24,24
1477276,100227,Restaurant_97,Italian,29.6,Weekend,Not given,20,26
1477277,100949,Restaurant_70,Indian,27.75,Weekday,Not given,27,23
1477278,100460,Restaurant_151,Italian,27.78,Weekday,3,32,21
1477279,100551,Restaurant_141,Italian,26.63,Weekday,3,23,26
1477280,100393,Restaurant_114,Chinese,25.18,Weekday,Not given,28,29
1477281,100845,Restaurant_68,Thai,19.23,Weekend,5,23,22
1477282,100210,Restaurant_51,Southern,24.34,Weekend,4,33,31
1477283,101139,Restaurant_16,Southern,5.66,Weekday,Not given,34,19
1477284,100646,Restaurant_63,American,23.7,Weekday,4,34,28
1477285,100219,Restaurant_70,Middle Eastern,28.54,Weekday,Not given,34,16
1477286,100407,Restaurant_122,Thai,19.95,Weekday,5,21,30
1477287,100888,Restaurant_120,Chinese,15.53,Weekday,Not given,22,31
1477288,100558,Restaurant_12,American,13.05,Weekday,4,24,17
1477289,100550,Restaurant_70,Chinese,24.36,Weekend,5,31,15
1477290,100142,Restaurant_35,Mediterranean,25.91,Weekday,5,29,32
1477291,100612,Restaurant_34,Indian,31.42,Weekday,4,34,32
1477292,100501,Restaurant_148,Japanese,15.06,Weekend,Not given,32,18
1477293,100840,Restaurant_8,Chinese,28.29,Weekend,4,32,29
1477294,100702,Restaurant_70,Japanese,21.84,Weekday,Not given,33,24
1477295,100596,Restaurant_35,American,31.78,Weekday,4,25,19
1477296,100281,Restaurant_155,Italian,20.8,Weekday,5,26,25
1477297,100424,Restaurant_102,Indian,20.49,Weekday,5,23,21
1477298,100856,Restaurant_44,American,22.35,Weekday,5,26,19
1477299,100270,Restaurant_87,French,27.65,Weekend,5,34,26
1477300,100154,Restaurant_135,Chinese,34.32,Weekday,5,29,29
1477301,100614,Restaurant_170,Japanese,6.75,Weekday,Not given,22,26
1477302,100662,Restaurant_43,Italian,6.12,Weekday,Not given,26,18
1477303,100083,Restaurant_155,Indian,33.48,Weekday,5,23,26
1477304,100947,Restaurant_162,American,20.86,Weekend,5,32,32
1477305,100899,Restaurant_157,American,23.5,Weekday,5,32,31
1477306,100284,Restaurant_117,Mediterranean,19.4,Weekday,4,27,30
1477307,100980,Restaurant_116,Chinese,7.37,Weekday,5,28,25
1477308,100173,Restaurant_70,French,28.23,Weekday,5,26,16
1477309,101087,Restaurant_140,Spanish,27.59,Weekday,Not given,27,30
1477310,101097,Restaurant_93,Chinese,14.11,Weekday,Not given,27,15
1477311,100763,Restaurant_122,Chinese,13.95,Weekday,5,21,31
1477312,100633,Restaurant_70,Japanese,30.39,Weekday,4,28,32
1477313,100787,Restaurant_135,Korean,6.71,Weekday,5,25,27
1477314,100943,Restaurant_147,Mediterranean,31.73,Weekday,Not given,30,19
1477315,101012,Restaurant_34,Mexican,12.41,Weekday,4,23,20
1477316,100398,Restaurant_151,French,22.82,Weekday,5,34,15
1477317,101144,Restaurant_94,American,33.43,Weekday,Not given,24,24
1477318,100934,Restaurant_151,Vietnamese,25.45,Weekday,4,29,19
1477319,100676,Restaurant_70,Korean,17.29,Weekend,5,24,15
1477320,100936,Restaurant_70,American,25.8,Weekday,5,26,25
1477321,100465,Restaurant_157,Chinese,15.11,Weekday,4,33,21
1477322,100286,Restaurant_51,American,13.05,Weekday,5,28,32
1477323,100265,Restaurant_151,Chinese,35.31,Weekday,5,26,24
1477324,100320,Restaurant_81,French,27.7,Weekday,4,28,29
1477325,100673,Restaurant_89,Italian,24.42,Weekday,5,23,18
1477326,100820,Restaurant_53,American,15.46,Weekend,Not given,29,30
1477327,100089,Restaurant_105,Italian,5.99,Weekday,5,33,29
1477328,100821,Restaurant_54,Vietnamese,5.43,Weekday,5,29,29
1477329,101001,Restaurant_8,Indian,21.62,Weekday,3,23,26
1477330,100334,Restaurant_51,Italian,28.05,Weekday,Not given,25,22
1477331,100222,Restaurant_2,American,21.1,Weekday,Not given,27,22
1477332,100041,Restaurant_178,Vietnamese,30.48,Weekend,4,33,32
1477333,100068,Restaurant_173,French,5.5,Weekday,5,28,20
1477334,100988,Restaurant_70,Chinese,15.82,Weekend,Not given,20,19
1477335,100514,Restaurant_135,American,11.8,Weekend,Not given,20,16
1477336,101151,Restaurant_56,American,18.31,Weekday,5,32,26
1477337,100695,Restaurant_122,American,6.71,Weekday,Not given,27,18
1477338,101040,Restaurant_141,Indian,33.99,Weekday,5,30,27
1477339,100477,Restaurant_166,Southern,11.38,Weekday,Not given,26,31
1477340,101086,Restaurant_70,Mexican,33.01,Weekday,Not given,28,30
1477341,100881,Restaurant_140,Middle Eastern,17.65,Weekday,3,30,23
1477342,100432,Restaurant_51,Italian,34.96,Weekday,Not given,22,15
1477343,100268,Restaurant_179,Japanese,21.61,Weekday,Not given,29,29
1477344,101059,Restaurant_2,Thai,33.27,Weekend,5,31,26
1477345,100779,Restaurant_113,American,4.64,Weekday,4,24,19
1477346,100494,Restaurant_120,Italian,27.62,Weekend,5,22,32
1477347,100661,Restaurant_127,Indian,32.41,Weekday,5,34,16
1477348,101013,Restaurant_24,American,8.79,Weekday,Not given,24,18
1477349,101059,Restaurant_163,Italian,7.44,Weekday,5,29,29
1477350,100977,Restaurant_35,Mexican,17.61,Weekday,5,20,20
1477351,100482,Restaurant_115,Spanish,33.36,Weekend,4,33,26
1477352,100728,Restaurant_44,Mexican,21.25,Weekend,Not given,30,32
1477353,100480,Restaurant_53,French,20.79,Weekend,5,23,18
1477354,101089,Restaurant_95,Italian,8.84,Weekday,5,25,15
1477355,101032,Restaurant_70,French,4.49,Weekday,5,21,29
1477356,100343,Restaurant_34,Indian,29.54,Weekend,Not given,32,32
1477357,100332,Restaurant_35,Mediterranean,7.18,Weekend,5,26,28
1477358,100438,Restaurant_70,Italian,24.08,Weekend,3,27,17
1477359,100174,Restaurant_140,Indian,32.77,Weekday,5,20,29
1477360,100559,Restaurant_155,Indian,10.93,Weekday,5,32,19
1477361,100527,Restaurant_12,Italian,25.05,Weekend,Not given,23,17
1477362,100659,Restaurant_70,American,6.9,Weekday,5,30,21
1477363,100026,Restaurant_13,American,23.15,Weekend,4,23,20
1477364,100820,Restaurant_2,American,9.54,Weekend,5,32,15
1477365,100605,Restaurant_121,Middle Eastern,27.24,Weekday,4,24,21
1477366,100406,Restaurant_113,Chinese,13.79,Weekend,4,33,18
1477367,100232,Restaurant_34,Chinese,18.81,Weekend,5,31,26
1477368,100533,Restaurant_44,Thai,23.02,Weekday,5,31,32
1477369,100505,Restaurant_2,Chinese,9.77,Weekend,5,23,23
1477370,100179,Restaurant_151,Mexican,27.42,Weekday,3,28,18
1477371,100132,Restaurant_177,American,13.83,Weekend,Not given,26,15
1477372,100348,Restaurant_29,Korean,24.96,Weekday,4,32,23
1477373,100540,Restaurant_44,Middle Eastern,9.37,Weekend,4,21,29
1477374,100772,Restaurant_155,Middle Eastern,25.76,Weekday,5,20,22
1477375,100076,Restaurant_160,Italian,8.44,Weekday,5,28,29
1477376,100579,Restaurant_70,Thai,17.63,Weekend,5,20,29
1477377,100854,Restaurant_9,American,12.12,Weekday,5,25,32
1477378,100194,Restaurant_8,American,27.62,Weekday,5,35,21
1477379,101186,Restaurant_105,American,12.58,Weekend,4,34,32
1477380,100347,Restaurant_70,Indian,31.75,Weekend,4,34,30
1477381,100951,Restaurant_3,Italian,32.06,Weekday,Not given,21,16
1477382,101111,Restaurant_108,Mexican,10.55,Weekday,5,35,18
1477383,100214,Restaurant_2,American,23.46,Weekday,3,23,30
1477384,100573,Restaurant_141,Italian,7.18,Weekday,Not given,25,17
1477385,100780,Restaurant_53,Japanese,16.58,Weekday,4,24,16
1477386,100262,Restaurant_8,Italian,26.54,Weekday,5,35,17
1477387,100730,Restaurant_108,Thai,24.87,Weekend,5,30,19
1477388,100283,Restaurant_70,Chinese,23.8,Weekend,5,25,16
1477389,100362,Restaurant_177,French,13.21,Weekend,5,22,16
1477390,100441,Restaurant_95,Indian,16.17,Weekday,Not given,24,16
1477391,100093,Restaurant_51,Chinese,7.66,Weekday,5,21,32
1477392,100753,Restaurant_131,Chinese,26.72,Weekday,5,26,28
1477393,100867,Restaurant_51,Indian,20.06,Weekday,Not given,22,29
1477394,100142,Restaurant_155,French,26.4,Weekday,Not given,20,26
1477395,100749,Restaurant_68,Italian,12.17,Weekend,4,33,25
1477396,100653,Restaurant_97,Chinese,14.51,Weekday,Not given,27,25
1477397,100701,Restaurant_9,Middle Eastern,14.81,Weekday,5,27,21
1477398,100998,Restaurant_70,Japanese,5.27,Weekday,5,22,26
1477399,100049,Restaurant_151,Italian,15.02,Weekend,4,32,30
1477400,100881,Restaurant_141,Mexican,29.32,Weekday,4,26,19
1477401,101160,Restaurant_44,Chinese,32.23,Weekday,Not given,28,16
1477402,100555,Restaurant_44,Indian,20.5,Weekday,5,27,30
1477403,100404,Restaurant_143,Italian,18.56,Weekday,4,22,29
1477404,100892,Restaurant_161,Spanish,5.42,Weekday,5,34,25
1477405,100865,Restaurant_13,Mexican,31.67,Weekend,4,32,20
1477406,100602,Restaurant_72,Mexican,4.87,Weekday,5,21,27
1477407,100341,Restaurant_56,Indian,33.7,Weekday,5,32,24
1477408,100704,Restaurant_155,Mediterranean,19.61,Weekday,Not given,29,19
1477409,100318,Restaurant_12,French,15.05,Weekend,4,35,21
1477410,100618,Restaurant_39,Italian,33.07,Weekday,4,26,25
1477411,100382,Restaurant_140,Japanese,5.22,Weekday,5,26,28
1477412,100233,Restaurant_9,Indian,22.46,Weekend,5,28,30
1477413,100817,Restaurant_82,Mexican,21.45,Weekend,5,24,32
1477414,100553,Restaurant_70,Chinese,11.26,Weekend,Not given,23,18
1477415,100856,Restaurant_56,Mexican,17.74,Weekend,Not given,27,15
1477416,100819,Restaurant_70,Chinese,24.65,Weekday,4,33,29
1477417,100183,Restaurant_92,Mediterranean,26.97,Weekday,4,23,28
1477418,101065,Restaurant_34,Italian,4.49,Weekend,Not given,35,19
1477419,100397,Restaurant_105,Korean,33.46,Weekday,4,23,18
1477420,100779,Restaurant_141,Mexican,9.56,Weekday,4,31,27
1477421,100907,Restaurant_140,Indian,11.7,Weekend,5,33,32
1477422,100127,Restaurant_34,Mexican,12.62,Weekday,Not given,31,26
1477423,100001,Restaurant_34,American,5.64,Weekday,4,21,29
1477424,101192,Restaurant_51,Italian,8.28,Weekday,Not given,32,23
1477425,100019,Restaurant_63,American,34.99,Weekday,Not given,34,18
1477426,100584,Restaurant_70,Indian,14.22,Weekday,5,20,19
1477427,100456,Restaurant_122,Italian,8.04,Weekday,Not given,23,23
1477428,100957,Restaurant_10,Thai,7.78,Weekday,Not given,26,27
1477429,101133,Restaurant_4,Chinese,26.73,Weekday,5,31,24
1477430,100445,Restaurant_70,American,30.91,Weekend,5,35,30
1477431,100602,Restaurant_128,Italian,12.42,Weekday,5,28,27
1477432,100103,Restaurant_35,Southern,5.12,Weekend,4,35,18
1477433,100988,Restaurant_117,Japanese,11.37,Weekday,5,28,27
1477434,100520,Restaurant_51,Italian,6.22,Weekday,4,31,22
1477435,101177,Restaurant_155,Mexican,7.67,Weekend,5,29,27
1477436,100859,Restaurant_155,American,17.82,Weekday,Not given,34,29
1477437,100174,Restaurant_53,Vietnamese,11.58,Weekend,5,20,27
1477438,101005,Restaurant_44,Japanese,20.43,Weekday,5,24,19
1477439,100431,Restaurant_70,Chinese,12.31,Weekend,4,26,20
1477440,100727,Restaurant_46,Indian,33.57,Weekday,4,32,19
1477441,100850,Restaurant_122,American,32.5,Weekend,5,26,27
1477442,100990,Restaurant_147,Korean,22.01,Weekday,5,29,19
1477443,100639,Restaurant_122,American,15.44,Weekend,5,35,27
1477444,100420,Restaurant_147,Indian,16.26,Weekday,Not given,25,22
1477445,100594,Restaurant_70,Chinese,17.21,Weekday,Not given,35,23
1477446,100485,Restaurant_34,Japanese,26.98,Weekend,4,30,29
1477447,100412,Restaurant_136,Thai,18.44,Weekday,Not given,29,24
1477448,100936,Restaurant_63,Japanese,30.98,Weekday,Not given,23,25
1477449,101108,Restaurant_122,Indian,33.68,Weekday,5,22,19
1477450,101137,Restaurant_51,Mediterranean,14.86,Weekday,Not given,31,23
1477451,100332,Restaurant_12,American,21.82,Weekday,Not given,32,25
1477452,100655,Restaurant_179,Italian,7.41,Weekday,5,28,16
1477453,100041,Restaurant_34,Chinese,10.67,Weekend,5,34,20
1477454,100959,Restaurant_179,Vietnamese,17.26,Weekday,5,31,15
1477455,100105,Restaurant_177,Italian,10.85,Weekday,5,32,17
1477456,100202,Restaurant_141,Thai,31.59,Weekend,Not given,29,17
1477457,100450,Restaurant_120,Japanese,9.37,Weekend,4,23,28
1477458,100910,Restaurant_105,Chinese,18.57,Weekday,Not given,27,19
1477459,100210,Restaurant_155,Chinese,23.21,Weekday,Not given,32,31
1477460,100563,Restaurant_52,Chinese,25.88,Weekday,4,20,29
1477461,101142,Restaurant_76,Italian,16.32,Weekday,3,26,20
1477462,100713,Restaurant_114,Chinese,31.36,Weekday,5,31,28
1477463,100771,Restaurant_70,American,22.05,Weekday,5,25,28
1477464,101108,Restaurant_70,Middle Eastern,18.07,Weekday,3,32,31
1477465,100454,Restaurant_55,Korean,6.55,Weekday,5,31,22
1477466,100667,Restaurant_104,Italian,18.85,Weekend,5,20,22
1477467,100629,Restaurant_155,Italian,29.86,Weekend,Not given,34,23
1477468,100387,Restaurant_36,American,23.48,Weekday,3,23,25
1477469,100296,Restaurant_162,Japanese,30.22,Weekday,5,31,27
1477470,100258,Restaurant_127,French,19.75,Weekday,3,34,27
1477471,101105,Restaurant_147,American,8.14,Weekend,Not given,33,19
1477472,100268,Restaurant_102,American,4.89,Weekday,5,24,30
1477473,100419,Restaurant_140,French,13.85,Weekday,5,30,23
1477474,100235,Restaurant_2,Indian,26.07,Weekend,Not given,27,17
1477475,100986,Restaurant_143,American,28.92,Weekend,5,34,19
1477476,100574,Restaurant_8,Indian,13.62,Weekend,5,23,22
1477477,100049,Restaurant_155,Chinese,19.81,Weekend,4,22,28
1477478,101151,Restaurant_179,Italian,17.5,Weekday,Not given,21,17
1477479,100223,Restaurant_53,Thai,17.17,Weekday,5,23,27
1477480,100921,Restaurant_39,French,11.63,Weekend,5,30,25
1477481,100277,Restaurant_140,Italian,8.69,Weekend,5,29,22
1477482,101131,Restaurant_51,Southern,10.56,Weekday,Not given,33,24
1477483,100420,Restaurant_155,Italian,6.18,Weekday,5,32,32
1477484,100611,Restaurant_13,Thai,10.6,Weekday,4,23,32
1477485,100375,Restaurant_26,Mexican,4.75,Weekend,Not given,32,21
1477486,100073,Restaurant_178,Mediterranean,23.88,Weekend,5,29,30
1477487,101054,Restaurant_122,Mediterranean,14.26,Weekday,Not given,24,20
1477488,100195,Restaurant_152,American,34.58,Weekday,Not given,32,30
1477489,101180,Restaurant_54,Southern,10.46,Weekday,Not given,26,30
1477490,101196,Restaurant_122,French,15.17,Weekend,5,28,15
1477491,100847,Restaurant_113,French,15.54,Weekend,3,21,17
1477492,101065,Restaurant_113,Chinese,4.73,Weekend,Not given,24,20
1477493,101087,Restaurant_123,French,30.44,Weekday,Not given,35,18
1477494,100023,Restaurant_105,Middle Eastern,5.46,Weekday,5,30,18
1477495,100360,Restaurant_70,Chinese,33.56,Weekday,Not given,29,18
1477496,101099,Restaurant_51,Korean,32.07,Weekday,5,28,24
1477497,100560,Restaurant_140,American,21.04,Weekend,5,31,23
1477498,100672,Restaurant_44,American,21.29,Weekend,4,33,22
1477499,101142,Restaurant_127,Mexican,24.7,Weekend,Not given,32,31
1477500,100679,Restaurant_44,Indian,16.45,Weekend,4,22,31
1477501,100440,Restaurant_116,Indian,24.5,Weekday,4,20,15
1477502,100933,Restaurant_139,American,5.86,Weekend,Not given,21,28
1477503,100007,Restaurant_42,Korean,6.14,Weekend,4,33,25
1477504,100421,Restaurant_12,American,18.62,Weekend,4,25,17
1477505,100833,Restaurant_27,American,21.48,Weekday,5,35,22
1477506,100559,Restaurant_113,American,31.94,Weekday,4,24,24
1477507,101172,Restaurant_154,Indian,7.71,Weekday,Not given,20,31
1477508,100914,Restaurant_8,Southern,29.92,Weekend,Not given,20,22
1477509,101007,Restaurant_135,Japanese,10.97,Weekday,4,30,15
1477510,100126,Restaurant_56,French,16.66,Weekday,Not given,23,21
1477511,100395,Restaurant_79,American,14.27,Weekday,5,31,23
1477512,100817,Restaurant_160,Mexican,16.85,Weekday,5,34,26
1477513,100881,Restaurant_56,Italian,9.13,Weekday,4,23,23
1477514,100576,Restaurant_76,Mexican,20.05,Weekday,5,34,17
1477515,100325,Restaurant_2,American,29.27,Weekday,5,25,18
1477516,100930,Restaurant_12,Japanese,18.13,Weekday,4,25,24
1477517,100833,Restaurant_51,Mexican,19.65,Weekend,5,35,18
1477518,101055,Restaurant_3,Thai,30.73,Weekday,5,29,23
1477519,100837,Restaurant_116,Mexican,26.32,Weekend,4,33,15
1477520,100926,Restaurant_70,American,19.64,Weekday,4,25,19
1477521,100443,Restaurant_96,Indian,12.44,Weekday,Not given,20,23
1477522,100075,Restaurant_35,American,31.85,Weekend,3,29,19
1477523,100557,Restaurant_53,Middle Eastern,22.32,Weekday,4,28,20
1477524,101179,Restaurant_121,Indian,11.31,Weekday,Not given,30,22
1477525,100363,Restaurant_173,American,12.8,Weekday,Not given,26,24
1477526,100448,Restaurant_9,Korean,29.32,Weekend,5,26,25
1477527,100262,Restaurant_155,Mexican,5.84,Weekday,5,30,27
1477528,100125,Restaurant_105,American,35.17,Weekday,3,26,18
1477529,100911,Restaurant_104,Indian,8.5,Weekday,4,21,25
1477530,100245,Restaurant_87,Chinese,29.1,Weekday,Not given,21,26
1477531,100542,Restaurant_12,French,16.68,Weekday,Not given,25,19
1477532,100485,Restaurant_12,French,19.7,Weekday,4,26,24
1477533,100122,Restaurant_113,Vietnamese,31.72,Weekday,Not given,22,21
1477534,100125,Restaurant_56,Mexican,17.25,Weekday,4,32,23
1477535,100170,Restaurant_158,Italian,21.1,Weekday,5,23,23
1477536,100124,Restaurant_70,Thai,6.0,Weekend,Not given,33,24
1477537,101059,Restaurant_33,American,4.54,Weekday,5,31,24
1477538,101111,Restaurant_135,Mexican,12.04,Weekday,Not given,22,16
1477539,100646,Restaurant_53,Mexican,25.53,Weekend,Not given,26,18
1477540,100786,Restaurant_91,American,8.22,Weekday,Not given,26,22
1477541,100201,Restaurant_128,Italian,7.99,Weekday,4,23,28
1477542,100369,Restaurant_155,Middle Eastern,17.19,Weekend,4,32,31
1477543,100797,Restaurant_141,Middle Eastern,24.51,Weekend,5,26,27
1477544,100077,Restaurant_122,American,26.5,Weekday,5,24,32
1477545,100059,Restaurant_122,American,9.99,Weekend,3,20,32
1477546,100431,Restaurant_166,Chinese,6.93,Weekday,Not given,29,27
